Model,Accuracy
Support Vector Machine,0.7362885048835462
XGBoost,0.7250187828700225
Random Forest,0.71900826446281
Gradient Boosting,0.7024793388429752
Naive Bayes,0.6942148760330579
LightGBM,0.6889556724267468
Multilayer Perceptron,0.681442524417731
Decision Tree,0.6694214876033058
AdaBoost,0.5822689706987227
